queryID, subjectID
contig100906,AT3G13560
contig10091,AT3G21190
contig100910,AT2G01610
contig100914,AT1G35870
contig100915,AT4G13550
contig100916,AT5G12000
contig10092,AT2G44525
contig100923,AT1G73790
contig100928,AT3G61920
contig100929,AT5G46290
contig10093,AT2G44525
contig100931,AT2G47240
contig100932,AT4G24560
contig100933,AT3G20290
contig100938,AT4G17770
contig10094,AT2G44525
contig100941,AT4G04955
contig100949,AT5G20850
contig10096,AT2G44525
contig100960,AT1G11950
contig100962,AT4G02980
contig100966,AT5G43810
contig10097,AT2G44525
contig100971,AT4G16310
contig100973,AT5G54770
contig100974,AT3G19340
contig100977,AT4G04720
contig10098,AT2G44525
contig100988,AT1G13860
contig100989,AT1G29220
contig100999,AT1G31480
contig101,AT4G02480
contig1010,AT1G12600
contig10100,AT3G46530
contig101002,AT2G47900
contig101004,AT3G44620
contig101005,AT5G63030
contig101006,AT1G07710
contig101011,AT4G00370
contig101013,AT5G47570
contig101015,AT1G77320
contig101018,AT4G31200
contig101019,AT2G24350
contig101021,AT1G18010
contig101022,AT1G28520
contig101023,AT1G33440
contig101024,AT4G36650
contig101025,AT2G26770
contig101033,AT5G55950
contig101034,AT1G22340
contig101042,AT2G25320
contig101043,AT3G04240
contig101045,AT2G33170
contig101049,AT1G63000
contig10105,AT3G46530
contig101052,AT5G09890
contig101054,AT5G59200
contig101055,AT3G09730
contig10106,AT3G46530
contig101061,AT2G13560
contig101064,AT4G03650
contig101074,AT1G36990
contig101075,AT3G20830
contig101077,AT4G29350
contig101081,AT3G05010
contig101083,AT5G37180
contig101085,AT1G13480
contig101087,AT3G46830
contig101089,AT1G51310
contig101094,AT2G44650
contig101095,AT2G23320
contig1011,AT2G02360
contig10110,AT3G46530
contig101104,AT2G37900
contig101106,AT4G33740
contig101112,AT5G52520
contig101114,AT1G27910
contig101115,AT5G47435
contig101117,AT3G58610
contig101121,AT5G16520
contig101126,AT1G60080
contig101128,AT1G20630
contig10113,AT1G42550
contig101131,AT5G27490
contig101135,AT2G40120
contig101136,AT3G17850
contig101139,AT5G17300
contig101141,AT1G13870
contig101142,AT4G37460
contig101143,ATMG00480
contig10115,AT1G42550
contig101153,AT4G12040
contig101154,AT1G32260
contig101157,AT3G20050
contig101158,AT5G52640
contig10116,AT1G42550
contig101162,AT4G30130
contig101165,AT5G41685
contig10117,AT1G42550
contig101170,AT2G41710
contig101174,AT1G11720
contig101176,AT5G60690
contig101178,AT4G30100
contig101179,AT1G58230
contig101183,AT1G03160
contig101185,AT3G04810
contig101189,AT3G06040
contig101190,AT1G70280
contig101191,AT1G43710
contig101196,AT1G10700
contig101197,AT2G25540
contig101198,AT4G02570
contig1012,AT2G02360
contig10120,AT1G26810
contig101200,AT4G02410
contig101202,AT3G14735
contig101206,AT4G13200
contig101207,AT4G14615
contig101208,AT3G06940
contig10121,AT1G26810
contig101210,AT5G52450
contig101214,AT3G27280
contig101215,AT4G30560
contig101218,AT4G17140
contig101219,AT1G13550
contig10122,AT1G26810
contig101220,AT5G60020
contig101222,AT1G20230
contig101225,AT1G08710
contig101228,AT5G43830
contig10123,AT5G58740
contig101231,AT3G23900
contig101232,AT1G47278
contig101234,AT5G11950
contig101238,AT1G76990
contig10124,AT5G58740
contig101242,AT1G02860
contig101244,AT1G78900
contig101245,AT1G33080
contig101247,AT1G64570
contig101248,AT5G10780
contig10125,AT2G41490
contig101250,AT5G41120
contig101252,AT5G48930
contig101254,AT2G13290
contig101255,AT4G22760
contig101259,AT3G55220
contig10126,AT2G41490
contig101260,AT1G26480
contig101264,AT5G40410
contig101265,AT3G46960
contig101266,AT1G76630
contig101268,AT3G57670
contig10127,AT3G57220
contig101271,AT1G74880
contig101274,AT1G21050
contig101276,AT3G60450
contig10128,AT3G57220
contig101281,AT1G50730
contig101287,AT2G32580
contig101288,AT1G36070
contig101289,AT4G16330
contig10129,AT3G57220
contig101291,AT4G34280
contig101292,AT2G03880
contig10130,AT5G11860
contig101300,AT1G55320
contig101301,AT1G28510
contig101302,AT2G14740
contig10131,AT5G11860
contig101311,AT5G41880
contig101314,AT3G60340
contig101315,AT1G26960
contig101316,AT1G58170
contig10132,AT5G53540
contig101320,AT1G77680
contig101321,AT4G27270
contig101324,AT5G35160
contig101325,AT2G41790
contig101327,AT1G74470
contig101328,AT5G15050
contig10133,AT5G11860
contig101335,AT5G59910
contig101336,AT3G02010
contig101341,AT4G38810
contig101342,AT1G60160
contig101349,AT5G24810
contig10135,AT4G27680
contig101352,AT2G43090
contig101353,AT3G06440
contig101354,AT1G68000
contig10136,AT5G53540
contig101360,AT5G09300
contig101366,AT1G14830
contig101367,AT3G02990
contig101372,AT1G64810
contig101374,AT3G19210
contig101377,AT3G57990
contig101378,AT1G78580
contig101382,AT4G21660
contig101384,AT2G18390
contig10139,AT5G53540
contig101391,AT3G50560
contig101393,AT5G47090
contig101394,AT4G32605
contig101395,AT1G06750
contig101396,AT2G17570
contig101399,AT3G01400
contig10140,AT5G53540
contig101403,AT3G13300
contig101404,AT1G31840
contig101405,AT3G60820
contig101408,AT1G03687
contig101409,AT1G32060
contig10141,AT5G25360
contig101413,AT3G24320
contig101416,AT2G01720
contig10142,AT4G27680
contig101420,AT2G25730
contig101428,AT5G51540
contig101429,AT1G22930
contig101430,AT4G22200
contig101433,AT3G21140
contig101435,AT4G22220
contig101436,AT1G04945
contig101439,AT4G17040
contig10144,AT5G53540
contig101442,AT4G21200
contig101446,AT1G65580
contig101449,AT5G24330
contig10145,AT4G27680
contig101454,AT1G29260
contig101456,AT3G48250
contig101457,AT5G56750
contig101458,AT1G02890
contig10146,AT5G53540
contig101460,AT4G31860
contig101461,AT1G34245
contig101463,AT3G13380
contig101466,AT3G01610
contig101467,AT1G30110
contig101468,AT1G66250
contig10147,AT4G27680
contig101477,AT3G29810
contig101478,AT3G50230
contig101480,AT5G58030
contig101485,AT1G27760
contig101487,AT2G31790
contig101489,AT4G37470
contig10149,AT3G53990
contig101490,AT3G13070
contig101494,AT5G06570
contig101497,AT5G45900
contig10150,AT5G25360
contig101503,AT2G39090
contig101505,AT5G14580
contig101506,AT1G17745
contig101508,AT2G20860
contig101511,AT3G24430
contig101516,AT5G19130
contig10152,AT4G27680
contig101520,AT3G56130
contig101528,AT5G56290
contig101529,AT5G25830
contig101535,AT1G55340
contig101538,AT2G38710
contig10154,AT4G27680
contig101543,AT5G39960
contig101547,AT3G13750
contig101549,AT2G31170
contig10155,AT5G25360
contig101554,AT3G28960
contig101556,AT2G30070
contig101558,AT2G39120
contig10156,AT5G25360
contig101560,AT5G15710
contig101564,AT5G14550
contig101568,AT2G35530
contig101569,ATCG00150
contig101570,AT2G23790
contig101572,AT4G14100
contig101573,AT5G62600
contig101574,AT3G42622
contig101576,AT2G36350
contig101577,AT4G24190
contig10158,AT2G41870
contig101580,AT5G54160
contig101582,AT1G10700
contig101583,AT4G14790
contig101588,AT1G23900
contig101589,AT4G36970
contig10159,AT5G25360
contig101590,AT4G27390
contig101591,AT5G25590
contig101593,AT2G13560
contig101596,AT5G53850
contig101597,ATCG00490
contig101598,AT4G14305
contig101599,AT1G10020
contig1016,AT5G34930
contig101600,AT2G38310
contig101602,AT1G66730
contig101604,AT4G00905
contig101605,AT1G27600
contig101607,AT5G20490
contig101609,AT2G01850
contig10161,AT5G25360
contig101613,AT1G68070
contig10162,AT4G27680
contig101622,AT3G12380
contig101623,AT5G08160
contig101624,AT5G19485
contig101631,AT1G67640
contig101637,AT3G14410
contig101639,AT4G21760
contig101641,AT2G16070
contig101642,AT2G45950
contig101645,AT1G04210
contig101646,AT2G39410
contig101648,AT2G02590
contig10165,AT4G27680
contig101650,AT5G13980
contig101651,AT1G56500
contig101656,AT5G28850
contig101661,AT4G14819
contig101664,AT1G52890
contig101666,AT3G17700
contig101668,AT5G51700
contig10167,AT5G25360
contig101670,AT5G51230
contig101672,AT3G61710
contig101679,AT4G16180
contig10168,AT5G08580
contig101680,AT1G15670
contig101681,AT2G45200
contig101682,AT3G09350
contig101683,AT2G34190
contig101684,AT1G05000
contig101688,AT4G37480
contig10169,AT5G08580
contig101690,AT5G05660
contig101698,AT2G37280
contig1017,AT1G04210
contig101703,ATCG00460
contig101704,AT3G13235
contig101706,AT5G38880
contig101716,ATCG01280
contig101718,AT3G52820
contig101720,AT2G04280
contig101721,AT1G10600
contig101723,AT3G01480
contig101726,AT2G45290
contig101729,AT2G01270
contig101734,AT4G00355
contig101735,AT3G14940
contig101736,AT5G12190
contig101741,AT3G03100
contig101743,AT5G23080
contig101745,AT3G50860
contig101753,AT5G47760
contig101754,AT1G70320
contig101756,AT5G55100
contig101760,AT4G09140
contig101769,AT3G46450
contig101770,AT3G20320
contig101774,AT5G10390
contig101776,AT5G43210
contig101778,AT2G34925
contig101780,AT4G30930
contig101783,AT1G35720
contig101795,AT5G56360
contig101796,AT3G55330
contig1018,AT1G04210
contig101800,AT2G39705
contig101801,AT2G46620
contig101804,AT1G32060
contig101807,AT4G15560
contig101808,AT2G29630
contig101812,AT4G27800
contig101814,AT3G05970
contig101817,AT3G57560
contig101818,AT1G01320
contig101821,AT1G07510
contig101822,AT5G65290
contig101823,AT2G46520
contig101824,AT2G17265
contig101825,AT4G08620
contig101827,AT1G10290
contig101831,AT3G25580
contig101833,AT1G27600
contig101836,AT2G17510
contig101838,AT4G27500
contig101840,AT4G16580
contig101841,AT4G36530
contig101844,AT1G15520
contig101845,AT5G16210
contig101854,AT3G01360
contig101856,AT1G01650
contig101857,AT1G63900
contig101859,AT5G21326
contig101861,AT2G22125
contig101862,AT1G69220
contig101863,AT3G02190
contig101869,AT2G14120
contig10187,AT2G39220
contig101870,AT4G19112
contig101871,AT1G73850
contig101872,AT4G26900
contig101878,AT1G64190
contig10188,AT3G54950
contig101886,AT1G10640
contig10189,AT3G54950
contig101891,AT5G63890
contig101892,AT1G31940
contig101893,AT1G16670
contig101895,AT1G20610
contig101897,AT1G03380
contig1019,AT1G04210
contig10190,AT2G39220
contig101900,AT5G02230
contig101905,AT1G23100
contig101906,AT4G22010
contig101907,AT3G22220
contig10191,AT2G39220
contig101910,AT3G28030
contig101911,AT2G40510
contig101912,AT2G27020
contig101913,AT5G64330
contig101915,AT5G55910
contig101919,AT3G51130
contig10192,AT3G54950
contig101920,AT1G53520
contig101921,AT4G39050
contig101922,AT1G11890
contig101924,AT1G05120
contig101927,AT5G54080
contig101928,AT3G50790
contig10193,AT3G54950
contig101930,AT1G64880
contig101931,AT4G32730
contig101933,AT5G39840
contig101934,AT4G26100
contig101938,AT4G30160
contig10194,AT1G67170
contig101941,AT2G47115
contig101944,AT3G09440
contig101945,AT1G59750
contig101948,AT5G13770
contig101949,AT1G53330
contig10195,AT1G67170
contig101952,AT1G55110
contig101955,AT5G57610
contig101957,AT1G31650
contig101958,AT5G62640
contig101964,AT3G01350
contig101965,AT2G02340
contig101968,AT5G57330
contig10197,AT1G67170
contig101971,AT1G79890
contig101972,AT4G32790
contig101976,AT5G09790
contig101978,AT2G25050
contig10198,AT1G67170
contig101980,AT1G48440
contig101981,AT1G28100
contig101982,AT5G46250
contig101984,AT5G47490
contig101986,AT3G25040
contig101989,AT5G11240
contig10199,AT1G67170
contig101990,AT5G18700
contig101991,AT3G09440
contig101993,AT5G63810
contig101994,AT4G25150
contig101997,AT4G19003
contig102001,AT5G42620
contig102007,AT1G74250
contig102008,AT5G40740
contig102009,AT3G59630
contig102012,AT4G32180
contig102013,AT2G42120
contig10202,AT1G67170
contig102020,AT2G47390
contig102022,AT1G20110
contig102024,AT2G44620
contig102026,AT1G54610
contig102029,AT1G66080
contig10203,AT1G67170
contig102031,AT4G14342
contig102034,AT2G24960
contig102036,AT1G07900
contig10204,AT1G67170
contig102041,AT3G10700
contig102042,AT5G05710
contig102044,AT3G04030
contig102048,AT2G26640
contig102049,ATCG00490
contig10205,AT1G67170
contig102054,AT3G45010
contig10206,AT1G67170
contig102062,AT5G08320
contig10207,AT1G67170
contig102073,AT5G27490
contig102075,ATMG00690
contig10208,AT1G67170
contig102084,AT4G28200
contig102085,AT2G26430
contig102086,AT4G17890
contig102089,AT2G27280
contig10209,AT1G67170
contig102091,AT5G60920
contig10210,AT5G54000
contig102101,AT1G65580
contig102104,AT1G75210
contig102106,AT2G10940
contig102108,AT5G06530
contig10211,AT5G54000
contig102110,AT5G53460
contig102111,AT4G16835
contig102113,AT1G04990
contig102116,AT1G74450
contig102117,AT1G44575
contig102118,AT5G10240
contig102119,AT5G39650
contig10212,AT4G34370
contig102120,AT3G26932
contig102125,AT5G15350
contig102129,AT5G51820
contig10213,AT4G34370
contig102133,AT5G26830
contig102136,AT3G01590
contig10214,AT4G34370
contig102140,AT2G33150
contig102141,AT4G08850
contig102143,AT5G10200
contig102145,AT1G21610
contig102149,AT2G28260
contig102150,AT5G19210
contig102151,AT5G53140
contig102152,AT1G20200
contig102155,AT5G62840
contig102156,AT5G51750
contig102158,AT2G16950
contig102159,AT4G01037
contig10216,AT5G24060
contig102161,AT2G05990
contig102162,AT5G54580
contig10217,AT3G49140
contig102170,AT2G41880
contig102177,AT3G63380
contig10218,AT5G24060
contig102180,AT1G03560
contig102182,AT4G29380
contig102185,AT3G25040
contig10219,AT5G24060
contig102190,AT1G50010
contig102195,AT5G45650
contig102196,AT4G17330
contig102197,AT3G60390
contig10220,AT4G35800
contig102201,AT1G74970
contig102204,AT2G44160
contig102205,AT1G05640
contig10221,AT4G35800
contig102211,AT2G31740
contig10222,AT4G35800
contig102220,AT5G44600
contig102221,AT2G35710
contig102223,AT4G33990
contig102228,AT3G12580
contig10223,AT4G35800
contig102230,AT5G13800
contig102231,AT4G02070
contig102233,AT1G55090
contig102236,AT5G56530
contig102237,AT2G28840
contig102238,AT4G29210
contig102239,AT2G48020
contig10224,AT4G35800
contig102240,AT1G60590
contig102244,AT3G08040
contig102246,AT3G56690
contig102249,AT4G28510
contig10225,AT4G35800
contig102251,AT1G55535
contig10226,AT4G35800
contig102262,AT1G05620
contig102263,AT1G79350
contig102265,AT1G78070
contig102273,AT4G18400
contig102279,AT3G62330
contig102282,AT1G34430
contig102284,AT5G65540
contig102288,AT5G17910
contig102293,AT5G24630
contig102294,AT3G16520
contig102298,AT5G60570
contig102301,AT4G39390
contig102303,AT1G70680
contig102305,AT1G32990
contig102306,AT3G06670
contig102307,AT1G49890
contig102311,AT4G35760
contig102312,AT3G61140
contig102315,AT4G24750
contig102318,AT3G01120
contig102319,AT3G25620
contig102321,AT1G47550
contig102324,AT3G06040
contig102325,AT2G02040
contig102326,AT5G55000
contig102329,AT4G12750
contig10233,AT5G12860
contig102332,AT5G08100
contig102333,AT5G63260
contig102335,AT5G15870
contig10234,AT5G12860
contig102340,AT2G23840
contig102341,AT5G52520
contig102343,AT1G13950
contig102347,AT2G28880
contig102349,AT5G58040
contig10235,AT5G12860
contig102350,AT4G34310
contig102351,AT4G31860
contig102353,AT4G03230
contig102354,AT2G17230
contig102356,AT4G13350
contig102358,AT1G15950
contig10236,AT5G12860
contig102366,AT5G16680
contig102367,AT4G25770
contig102368,AT1G34030
contig10237,AT5G12860
contig102372,AT4G24680
contig102374,AT3G20290
contig102375,AT4G38180
contig102377,AT4G33990
contig102380,AT5G65000
contig102381,AT2G17530
contig102384,AT1G61770
contig102387,AT3G23940
contig10239,AT5G12860
contig102391,AT2G01980
contig102393,AT3G16810
contig102398,AT4G31530
contig102399,AT4G01860
contig1024,AT1G75330
contig10240,AT5G12860
contig102402,AT1G03520
contig102404,AT3G56250
contig102405,AT3G10185
contig102409,AT1G08760
contig10241,AT5G12860
contig102411,AT3G09090
contig102412,AT3G25580
contig102418,AT1G59750
contig102419,AT4G24660
contig102423,AT3G09560
contig102427,AT1G51410
contig102428,AT4G08850
contig102433,AT1G16180
contig102442,AT4G10730
contig102445,AT5G63220
contig102448,AT5G04600
contig102449,AT2G44970
contig102450,AT1G75710
contig102454,AT3G03710
contig10246,AT3G20430
contig102461,AT3G17000
contig102464,AT2G13370
contig102465,AT5G47010
contig102466,AT2G41190
contig102469,AT1G74160
contig102471,AT1G24170
contig102473,AT5G43430
contig102475,AT1G30470
contig102477,AT2G47850
contig102478,AT3G22990
contig102487,AT3G10260
contig10249,AT3G20430
contig102490,AT3G12810
contig102494,AT1G29380
contig1025,AT1G75330
contig10250,AT3G20430
contig102503,AT4G04350
contig102504,AT1G17200
contig102505,AT3G28580
contig102506,AT3G41768
contig102507,AT5G57180
contig102508,AT5G07720
contig102509,AT2G19560
contig10251,AT3G20430
contig102515,AT4G32260
contig102527,AT4G29130
contig10253,AT5G27380
contig102530,AT2G43000
contig102531,AT5G56360
contig102532,AT2G13540
contig102534,AT4G35100
contig102537,AT2G35720
contig10254,AT5G27380
contig102541,AT4G25450
contig102544,AT2G31940
contig102545,AT4G01037
contig102548,AT5G01970
contig102550,AT2G46890
contig102553,AT4G25540
contig102555,AT5G52640
contig102559,AT3G16170
contig102560,AT2G47920
contig102561,AT5G51140
contig102565,AT4G15093
contig102571,AT3G12360
contig102582,AT5G15080
contig102584,AT1G03330
contig102587,AT3G24180
contig102588,AT1G55860
contig102589,AT5G16890
contig10259,AT3G14300
contig102590,AT3G27820
contig102594,AT2G19520
contig102596,AT2G01290
contig102598,AT5G11670
contig1026,AT1G75330
contig10260,AT4G33220
contig102604,AT1G11200
contig102605,AT3G19420
contig102606,AT2G44020
contig10261,AT3G14300
contig102611,AT4G02940
contig102612,AT5G65620
contig102614,AT5G47200
contig102617,AT4G21470
contig10262,AT1G24040
contig102620,AT3G59080
contig102621,AT4G18060
contig102624,AT3G09550
contig102625,AT5G15730
contig102627,AT5G05480
contig102628,AT5G39790
contig102630,AT4G32060
contig102633,AT4G24880
contig10264,AT5G42480
contig102640,AT5G19730
contig102641,AT4G37170
contig102646,AT4G11240
contig10265,AT5G42480
contig102650,AT2G34680
contig102654,AT5G11600
contig10266,AT5G42480
contig102660,AT1G51580
contig102661,AT5G63670
contig102662,AT2G26890
contig102663,AT1G45170
contig102667,AT5G47480
contig102669,AT3G17040
contig10267,AT3G09090
contig102670,AT1G05640
contig102671,AT1G62422
contig102673,AT1G50030
contig102677,AT5G21970
contig102679,AT5G10720
contig10268,AT3G09090
contig102680,AT5G15740
contig102685,AT2G23700
contig10269,AT3G09090
contig102691,AT3G48330
contig102692,AT3G12690
contig102699,AT1G71696
contig10270,AT3G09090
contig102701,AT5G19530
contig102703,AT2G16500
contig102704,AT3G17410
contig102705,AT5G45890
contig102706,AT1G78600
contig102709,AT2G21870
contig10271,AT2G36490
contig102719,AT2G19090
contig10272,AT2G36490
contig102721,AT4G08540
contig102724,AT1G73100
contig102725,AT3G63440
contig10273,AT1G75210
contig102733,AT5G43370
contig102734,AT5G45360
contig102735,AT5G08280
contig102738,AT4G05090
contig102739,AT4G00355
contig10274,AT1G75210
contig102740,AT3G51840
contig102741,AT5G27740
contig102744,AT3G24503
contig102746,AT1G65900
contig102747,AT2G31880
contig10275,AT1G51110
contig102750,AT1G70505
contig102751,AT1G11340
contig102756,AT4G30240
contig102758,AT2G34970
contig102759,AT1G11440
contig10276,AT1G51110
contig102765,AT2G31190
contig102769,AT5G47630
contig10277,AT4G18330
contig102771,AT5G36300
contig102773,AT3G08950
contig10278,AT5G36120
contig102781,AT1G67660
contig102782,AT5G22340
contig102784,AT1G77350
contig102785,AT4G05520
contig102788,AT4G20400
contig102789,AT1G45976
contig10279,AT4G18330
contig102794,AT4G25120
contig102796,AT5G15870
contig102798,AT2G28840
contig10280,AT4G18330
contig102800,AT1G08125
contig102807,AT1G22740
contig102809,AT3G61220
contig10281,AT4G18330
contig102810,AT4G16130
contig102811,AT1G27600
contig102813,AT2G38680
contig102818,AT5G65780
contig102819,AT1G55620
contig10282,AT4G18330
contig102824,AT4G08330
contig102826,AT2G39570
contig102827,AT2G17890
contig10283,AT1G04170
contig102831,AT4G26210
contig102833,AT2G44890
contig102837,AT2G27230
contig102839,AT5G07800
contig10284,AT4G18330
contig102840,AT2G44610
contig102841,AT4G36830
contig102842,AT5G45550
contig102847,AT5G16660
contig10285,AT4G18330
contig102850,AT3G22320
contig102851,AT3G12380
contig102852,AT3G05100
contig102853,AT1G05490
contig102854,ATMG00980
contig102857,AT3G62910
contig10286,AT4G18330
